path	bytes	ext	bucket	role	is_symlink	purpose_bucket
domains/medical/assets/kl-compartment-spatial/vision-free-gemini-sweetspot-02-de.png	4982671	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-compartment-spatial/vision-refined-01.png	534583	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-m-b-mimic/MANIFEST.md	351	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/kl-m-b-mimic/vision-free-01.png	658583	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-melanom-abcde/MANIFEST.md	809	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/kl-melanom-abcde/vision-free-01.png	926604	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-melanom-abcde/vision-refined-01.png	949325	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-mscc-spine/MANIFEST.md	723	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/kl-mscc-spine/vision-free-01.png	710194	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-stroke-fast/MANIFEST.md	358	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/kl-stroke-fast/vision-free-01.png	414451	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-stroke-fast/vision-refined-01.png	563418	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-us-d-urgency/MANIFEST.md	402	md	B-medical-assets	markdown-doc	False	Domain vision/refined graphic assets
domains/medical/assets/kl-us-d-urgency/vision-free-01.png	816907	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/assets/kl-us-d-urgency/vision-refined-01.png	1068973	png	B-medical-assets	visual-artifact	False	Domain vision/refined graphic assets
domains/medical/briefs/.gitkeep	0	(none)	B-medical-briefs	other	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/INDEX.md	1883	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/README.md	306	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/i4-ifsg.accept.md	2950	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/i4-ifsg.brief.md	7187	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/i4-ifsg.feasibility.md	3768	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-ambition.accept.md	1830	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-ambition.claim-audit.md	2751	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-anaphylaxie-mimic.form-spec.md	7726	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-anaphylaxie-urgency.form-spec.md	14629	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-anaphylaxie.brief.md	6744	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-compartment-spatial-essential.vision.md	1656	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-compartment-spatial-focus.vision.md	2221	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-compartment-spatial-principle.vision.md	1281	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-compartment-spatial-schematic-correct.vision.md	3095	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-m-b-mimic.vision.md	2653	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-mi-mimic.form-spec.md	8563	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
domains/medical/briefs/_archive/kl-mi-urgency.form-spec.md	12662	md	B-medical-briefs	markdown-doc	False	Briefs, form-specs, accept, vision notes
